person,skill,output [E],output [H],output [G],output [C],output [M],output [J],output [D],output [B],output [F],output [L],output [A],output [K],output [I],kelompok_mrka,kelompok_ml_1,kelompok_ml_2,kelompok_spk,kelompok_sispak,kelompok_pekom,kelompok_stmh_1,kelompok_fuzzy,kelompok_cv,kelompok_pka
E,"H, C, J, L, D, I",,,"M, J",,"G, J","G, M",,,,,,,,"D, F",L,"H, G",,,"H, F",,"C, J","L, I, M","C, F, J"
K,"E, H, D, F, L",,,"M, J",,"G, J","G, M",,,,E,,,,"C, B",C,"A, L, I",,,,"H, I","B, L","B, C","G, M, I, B"
F,"E, H, D, L, I, K","D, L, I",,"M, J",,"G, J","G, M","E, L, I",,,"D, I",,,"E, D, L","E, D",H,"D, B",,"J, C","H, E",,"G, H, D",,"E, C, J"
J,"E, H, D, L, I","E, H, D, L, I","E, D","M, J","C, B, K","G, J","G, M","E, D, L, I","C, B, K",J,"E, D, L, I",J,"C, B, K","E, D, L, K","G, M","G, M","M, C",,"C, F",,"A, L","E, C",,"E, C, F"
D,"E, L, I",,,,,"G, J","G, M","H, G, J, D, F, A",,,,,,,"E, F",B,"B, F","G, M, B",,,,"H, G, F","G, A","L, H, A"
G,"D, I","H, D, F, L, I","E, D, F, I",,,,,"E, H, F, L, I",,,"E, H, D, F, I",,,"E, H, D, F, L","M, J","M, J","E, H","M, B, D",,,,"H, F, D","A, D","M, I, B, K"
M,"E, H, D, L, F, I","H, D, F, L, I","E, D, F, L, I",,,,,"E, H, F, L, I",,"E, H, D, L, I","E, H, D, F, I",,,"E, H, D, F, L","J, G","G, J","C, J","G, D, B",,,,"A, I","I, L, E","K, G, I, B"
I,"E, H, D, L, F, K, I","E, D, L","H, G","H, M, J",C,"G, J","G, M","E, D, L",B,F,"E, D, L",A,K,I,"H, L, A",A,"A, L, K",,,,"K, H","A, M","E, L, M","K, G, B, M"
B,"E, H, D, F, L, I","H, D, F, L, I","E, D, F, L, I",,,"G, J","G, M","E, H, F, L, I",,"E, H, D, L, I","E, H, D, I",,,"E, H, D, F, L","C, K",D,"D, F","G, M, D",,,,"L, K","C, K","K, G, M, I"
C,"E, H, J, D, F, L, I","H, L, I","E, L, I","M, J",A,"G, J","G, M",H,I,,"E, H, I",C,,,"B, K",K,"M, J",,"F, J",,,"E, J","K, B","E, F, J"
L,"E, H, D, L, I",,L,"M, J",L,"L, G, J","L, G, M",,L,L,"H, G, C, M, J, B, F, A, K",L,L,,"H, A, I",E,"A, I, K",,,,"A, J","B, K","E, I, M","D, H, A"
H,"E, C, M, D, B, L, K, I","C, D, B, L, K, I",,"M, J","E, D, B, L, K, I","G, J","G, M","E, C, D, B, L, K, I",,,"E, C, D, B, K, I",,"E, C, D, B, L, I","E, C, D, B, L, K","L, A, I",F,"G, E",,,"E, F","I, K","G, D, F",,"D, L, A"
A,E,E,,"M, J",,"G, J","G, M",H,,,C,,M,,"H, L, I",I,"L, K, I",,,,"L, J","I, M","G, D","D, H, L"
