person,A,B,C,D,E,F,G,H,I,J,K,L,M
A,0.0,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693
B,0.07692307692307693,0.0,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.07692307692307693
C,0.15384615384615385,0.23076923076923078,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.23076923076923078,0.07692307692307693
D,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.5384615384615384,0.3076923076923077,0.07692307692307693,0.5384615384615384,0.46153846153846156,0.07692307692307693,0.15384615384615385,0.5384615384615384,0.0
E,0.0,0.07692307692307693,0.07692307692307693,0.5384615384615384,0.0,0.23076923076923078,0.0,0.38461538461538464,0.5384615384615384,0.0,0.15384615384615385,0.6923076923076923,0.0
F,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.23076923076923078,0.0,0.15384615384615385,0.38461538461538464,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.3076923076923077,0.07692307692307693
G,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.15384615384615385,0.0,0.23076923076923078,0.0,0.8461538461538461,0.07692307692307693,0.07692307692307693,0.8461538461538461
H,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.5384615384615384,0.38461538461538464,0.38461538461538464,0.23076923076923078,0.0,0.38461538461538464,0.23076923076923078,0.07692307692307693,0.46153846153846156,0.15384615384615385
I,0.0,0.15384615384615385,0.07692307692307693,0.46153846153846156,0.5384615384615384,0.23076923076923078,0.0,0.38461538461538464,0.0,0.0,0.15384615384615385,0.5384615384615384,0.0
J,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.23076923076923078,0.8461538461538461,0.23076923076923078,0.0,0.0,0.07692307692307693,0.07692307692307693,0.8461538461538461
K,0.07692307692307693,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.0,0.23076923076923078,0.15384615384615385
L,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.5384615384615384,0.6923076923076923,0.3076923076923077,0.07692307692307693,0.46153846153846156,0.5384615384615384,0.07692307692307693,0.23076923076923078,0.0,0.07692307692307693
M,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.07692307692307693,0.8461538461538461,0.15384615384615385,0.0,0.8461538461538461,0.15384615384615385,0.07692307692307693,0.0
